main image,grade 1 category,grade 2 category,grade 3 category
https://m.media-amazon.com/images/I/71QrkenaWbL._AC_US600_.jpg,Health and Household,Household Supplies,Household Batteries
https://m.media-amazon.com/images/I/8128kGBq5PL._AC_US600_.jpg,Health and Household,Household Supplies,Household Cleaning
https://m.media-amazon.com/images/I/41askX+BhbL._AC_US600_.jpg,Beauty and Personal Care,Tools and Accessories,Cotton Balls and Swabs
https://m.media-amazon.com/images/I/81ftlGu0gqL._AC_US600_.jpg,Health and Household,Household Supplies,"Tissues, Toilet Paper and Sprays"
https://m.media-amazon.com/images/I/41-kW1OuN7L._AC_US600_.jpg,Health and Household,Household Supplies,Paper and Plastic
https://m.media-amazon.com/images/I/61K6cQhw4EL._AC_US600_.jpg,Beauty and Personal Care,Makeup,Eyes
https://m.media-amazon.com/images/I/71X2dEB5TIL._AC_US600_.jpg,Office Products,Office and School Supplies,"Tape, Adhesives and Fasteners"
https://m.media-amazon.com/images/I/71i6g3WhoIL._AC_US600_.jpg,Beauty and Personal Care,Makeup,Makeup Remover
https://m.media-amazon.com/images/I/51hlWKmv9RL._SS600_.jpg,Health and Household,Health Care,First Aid
https://m.media-amazon.com/images/I/61B7mux9lIL._AC_US600_.jpg,Toys and Games,Games and Accessories,Card Games
https://m.media-amazon.com/images/I/71x8eJYN4JL._AC_US600_.jpg,Beauty and Personal Care,Shave and Hair Removal,Women's
https://m.media-amazon.com/images/I/41o09Y1HKzL._AC_US600_.jpg,Health and Household,Household Supplies,Dishwashing
https://m.media-amazon.com/images/I/51Rdzgqxe5L._AC_US600_.jpg,Home and Kitchen,Event and Party Supplies,Tableware
https://m.media-amazon.com/images/I/71aXySiXjNL._AC_US600_.jpg,Health and Household,Oral Care,Dental Floss and Picks
https://m.media-amazon.com/images/I/71YLxhnPUxL._AC_US600_.jpg,Automotive,Car Care,Tools and Equipment
https://m.media-amazon.com/images/I/91ZNEt0wTML._AC_US600_.jpg,Health and Household,Household Supplies,Cleaning Tools
https://m.media-amazon.com/images/I/71ZbDgLQWLL._AC_US600_.jpg,Beauty and Personal Care,Hair Care,Styling Products
https://m.media-amazon.com/images/I/81Xu5Vq4goL._AC_US600_.jpg,Beauty and Personal Care,Personal Care,Deodorants and Antiperspirants
https://m.media-amazon.com/images/I/71cSg-qmdzL._AC_US600_.jpg,Health and Household,"Vitamins, Minerals and Supplements",Minerals
https://m.media-amazon.com/images/I/81CA3GV9sXL._AC_US600_.jpg,Toys and Games,Games and Accessories,Board Games
https://m.media-amazon.com/images/I/41SXL+-YzcL._SS600_.jpg,Health and Household,Oral Care,Breath Fresheners
https://m.media-amazon.com/images/I/61pVQ0ca4zL._AC_US600_.jpg,Small Appliance Parts and Accessories,Coffee and Espresso Machine Parts and Accessories,Coffee Machine Accessories
https://m.media-amazon.com/images/I/31tIssP5CQL._AC_US600_.jpg,Beauty and Personal Care,"Foot, Hand and Nail Care",Foot and Hand Care
https://m.media-amazon.com/images/I/71x-iCOHaaL._AC_US600_.jpg,Toys and Games,Arts and Crafts,Craft Kits
https://m.media-amazon.com/images/I/71vjF6hh1AL._AC_US600_.jpg,Health and Household,Oral Care,Toothpaste
https://m.media-amazon.com/images/I/41E7ALk+uXL._AC_US600_.jpg,Home and Kitchen,Kitchen and Dining,Kitchen Utensils and Gadgets
https://m.media-amazon.com/images/I/61yyKwxyVCL._AC_US600_.jpg,Health and Household,Household Supplies,Laundry
https://m.media-amazon.com/images/I/31ajpb-D+eL._SS600_.jpg,Beauty and Personal Care,Skin Care,Body
https://m.media-amazon.com/images/I/61ASP4MQucL._AC_US600_.jpg,Baby Products,Baby Care,Grooming
https://m.media-amazon.com/images/I/71xCpyI63+L._AC_US600_.jpg,Beauty and Personal Care,Hair Care,Shampoo and Conditioner
https://m.media-amazon.com/images/I/81TIiUKdq9S._AC_US600_.jpg,Beauty and Personal Care,Tools and Accessories,Makeup Brushes and Tools
https://m.media-amazon.com/images/I/4110ES-l6YL._AC_US600_.jpg,Beauty and Personal Care,Skin Care,Lip Care
https://m.media-amazon.com/images/I/813EVHG9BBL._AC_US600_.jpg,Toys and Games,Novelty and Gag Toys,Wind-Up Toys
https://m.media-amazon.com/images/I/61ovGJTFbDL._AC_US600_.jpg,Beauty and Personal Care,"Foot, Hand and Nail Care",Nail Care
https://m.media-amazon.com/images/I/71kaC5NIrBL._AC_US600_.jpg,Beauty and Personal Care,Skin Care,Eyes
https://m.media-amazon.com/images/I/71INm9IvkRL._AC_US600_.jpg,Health and Household,Vision,Eyeglasses Care
https://m.media-amazon.com/images/I/71k45i-sZzL._AC_US600_.jpg,Toys and Games,Baby and Toddler Toys,Bath Toys
https://m.media-amazon.com/images/I/61KedtnoewL._AC_US600_.jpg,Beauty and Personal Care,Makeup,Face
