国家/地区,集团,整车厂/品牌,车种,级别,车型,动力总成,202301,202302,202303,202304,202305,202306,,
澳大利亚,梅赛德斯-奔驰集团,梅赛德斯-奔驰 (2022-),SUV,SUV-D,EQB,EV,3,29,74,71,71,59,-,-
澳大利亚,梅赛德斯-奔驰集团,梅赛德斯-奔驰 (2022-),SUV,SUV-D,EQC,EV,23,5,20,29,35,42,-,-
澳大利亚,梅赛德斯-奔驰集团,梅赛德斯-奔驰 (2022-),SUV,SUV-D,GLB,N/A,158,130,214,297,217,207,-,-
澳大利亚,梅赛德斯-奔驰集团,梅赛德斯-奔驰 (2022-),SUV,SUV-D,GLC-Class (GLK-Class),N/A,305,222,329,293,372,627,-,-
澳大利亚,梅赛德斯-奔驰集团,梅赛德斯-奔驰 (2022-),SUV,SUV-E,G-Class,N/A,1,0,27,24,32,36,-,-
澳大利亚,梅赛德斯-奔驰集团,梅赛德斯-奔驰 (2022-),SUV,SUV-E,GLE-Class (M-Class/ML-Class),N/A,321,392,290,248,405,316,-,-
澳大利亚,梅赛德斯-奔驰集团,梅赛德斯-奔驰 (2022-),SUV,SUV-E,GLS-Class (GL-Class),N/A,28,43,62,103,95,92,-,-
澳大利亚,梅赛德斯-奔驰集团,梅赛德斯-奔驰 (2022-),Light Trucks,不可分级,Mercedes-Benz Sprinter,N/A,-,2,1,0,0,1,-,-
澳大利亚,梅赛德斯-奔驰集团,梅赛德斯-奔驰 (2022-),Light Trucks,不可分级,Vito,N/A,56,73,79,44,83,142,-,-
澳大利亚,梅赛德斯-奔驰集团,梅赛德斯-奔驰 (2022-),Heavy Trucks,不可分级,Mercedes-Benz Sprinter,N/A,235,184,263,276,327,362,-,-
澳大利亚,戴姆勒卡车集团 (2022-),Daimler Truck (2022-),Heavy Trucks,不可分级,N/A (Heavy Trucks) (Mercedes-Benz),N/A,49,67,91,83,72,107,-,-
澳大利亚,戴姆勒卡车集团 (2022-),Freightliner (2022-),Heavy Trucks,不可分级,N/A (Heavy Trucks) (Freightliner),N/A,18,30,27,26,48,60,-,-
澳大利亚,戴姆勒卡车集团 (2022-),三菱扶桑 (2022-),Heavy Trucks,不可分级,Fuso Canter,N/A,164,248,271,205,282,426,-,-
澳大利亚,戴姆勒卡车集团 (2022-),三菱扶桑 (2022-),Heavy Trucks,不可分级,Fuso F Series,N/A,56,46,60,73,60,79,-,-
澳大利亚,戴姆勒卡车集团 (2022-),三菱扶桑 (2022-),Heavy Trucks,不可分级,Fuso FK/FM Series (Fighter),N/A,81,95,134,118,116,184,-,-
澳大利亚,戴姆勒卡车集团 (2022-),Western Star (2022-),Heavy Trucks,不可分级,N/A,N/A,11,17,15,16,10,21,-,-
澳大利亚,宝马集团,宝马,Cars,C,1 Series,N/A,140,77,356,120,159,195,-,-
澳大利亚,宝马集团,宝马,Cars,C,2 Series,N/A,118,97,300,122,245,219,-,-
澳大利亚,宝马集团,宝马,Cars,D,3 Series,N/A,161,92,238,247,405,478,-,-
澳大利亚,宝马集团,宝马,Cars,D,4 Series,N/A,99,68,167,147,183,238,-,-
澳大利亚,宝马集团,宝马,Cars,D,Z4,N/A,6,2,1,3,8,19,-,-
澳大利亚,宝马集团,宝马,Cars,E,BMW 5 Series,N/A,26,12,31,41,24,65,-,-
澳大利亚,宝马集团,宝马,Cars,E,BMW i4,EV,12,1,0,9,26,48,-,-
澳大利亚,宝马集团,宝马,Cars,F,BMW 7 Series,N/A,13,3,13,5,9,6,-,-
澳大利亚,宝马集团,宝马,Cars,F,BMW 8 Series,N/A,6,3,13,6,11,17,-,-
澳大利亚,宝马集团,宝马,Cars,F,BMW i7,EV,8,3,4,3,3,9,-,-
澳大利亚,宝马集团,宝马,SUV,SUV-C,X1,N/A,69,14,167,257,441,624,-,-
澳大利亚,宝马集团,宝马,SUV,SUV-C,X2,N/A,39,39,80,19,19,33,-,-
澳大利亚,宝马集团,宝马,SUV,SUV-D,X3,N/A,384,205,467,263,339,387,-,-
澳大利亚,宝马集团,宝马,SUV,SUV-D,X4,N/A,24,48,142,70,54,71,-,-
澳大利亚,宝马集团,宝马,SUV,SUV-D,iX,EV,95,46,114,71,86,105,-,-
澳大利亚,宝马集团,宝马,SUV,SUV-E,BMW X7,N/A,57,67,148,102,57,84,-,-
澳大利亚,宝马集团,宝马,SUV,SUV-E,BMW XM,PHV,-,-,-,1,17,14,-,-
澳大利亚,宝马集团,宝马,SUV,SUV-E,X5,N/A,206,235,550,216,203,386,-,-
澳大利亚,宝马集团,宝马,SUV,SUV-E,X6,N/A,17,35,67,48,40,40,-,-
澳大利亚,宝马集团,MINI,Cars,B,Hatchback,N/A,149,123,137,86,198,289,-,-
澳大利亚,宝马集团,MINI,Cars,B,MINI Cabrio,N/A,29,6,22,18,16,48,-,-
澳大利亚,宝马集团,MINI,Cars,B,MINI Clubman,N/A,2,0,10,3,21,72,-,-
澳大利亚,宝马集团,MINI,SUV,SUV-C,Countryman,N/A,89,57,288,131,164,178,-,-
澳大利亚,宝马集团,Rolls-Royce,Cars,不可分级,N/A,N/A,2,1,1,1,5,1,-,-
澳大利亚,宝马集团,Rolls-Royce,SUV,不可分级,N/A,N/A,-,0,3,2,1,4,-,-
澳大利亚,马自达,马自达,Cars,B,Demio (Mazda 2),N/A,660,504,398,327,378,483,-,-
澳大利亚,马自达,马自达,Cars,C,Axela (Mazda 3),N/A,824,561,973,845,779,860,-,-
澳大利亚,马自达,马自达,Cars,C,MX-5 (Miata),N/A,86,43,31,24,30,28,-,-
澳大利亚,马自达,马自达,Cars,D,Atenza (Mazda 6),N/A,199,123,156,145,149,119,-,-
澳大利亚,马自达,马自达,SUV,SUV-B,CX-3,N/A,2417,1046,1002,860,1203,1502,-,-
澳大利亚,马自达,马自达,SUV,SUV-C,CX-30,N/A,661,481,1337,1291,1169,1159,-,-
澳大利亚,马自达,马自达,SUV,SUV-C,CX-5,N/A,2189,2600,1917,1243,1846,1812,-,-
澳大利亚,马自达,马自达,SUV,SUV-C,MX-30,HV/EV,66,71,52,49,50,24,-,-
澳大利亚,马自达,马自达,SUV,SUV-D,CX-60,N/A,-,-,-,-,28,13,-,-
澳大利亚,马自达,马自达,SUV,SUV-D,CX-8,N/A,645,386,294,266,470,563,-,-
澳大利亚,马自达,马自达,SUV,SUV-D,CX-9,N/A,340,612,722,540,585,583,-,-
澳大利亚,马自达,马自达,Light Trucks,Pickup Truck,BT-50,N/A,1320,1240,1361,1336,1788,2560,-,-
澳大利亚,吉利控股集团(Geely),沃尔沃汽车 (2011-),Cars,D,S60 (Volvo Cars (2011-)),N/A,12,16,11,17,5,9,-,-
澳大利亚,吉利控股集团(Geely),沃尔沃汽车 (2011-),Cars,D,V60 (Volvo Cars (2011-)),N/A,4,7,13,15,25,28,-,-
澳大利亚,吉利控股集团(Geely),沃尔沃汽车 (2011-),SUV,SUV-C,C40 Recharge,EV,127,59,50,133,165,151,-,-
澳大利亚,吉利控股集团(Geely),沃尔沃汽车 (2011-),SUV,SUV-C,XC40 (Volvo Cars (2011-)),N/A,408,491,606,527,619,541,-,-
澳大利亚,吉利控股集团(Geely),沃尔沃汽车 (2011-),SUV,SUV-D,XC60 (Volvo Cars (2011-)),N/A,212,188,201,256,270,388,-,-
澳大利亚,吉利控股集团(Geely),沃尔沃汽车 (2011-),SUV,SUV-E,XC90 (Volvo Cars (2011-)),N/A,99,97,136,96,121,187,-,-
澳大利亚,吉利控股集团(Geely),Polestar,Cars,D,Polestar 2,EV,164,172,212,122,226,251,-,-
澳大利亚,吉利控股集团(Geely),路特斯 (Lotus) (2017-),Cars,F,EMIRA,N/A,10,13,3,2,10,14,-,-
澳大利亚,三菱,三菱,Cars,B,Mirage,N/A,-,1,0,0,0,0,-,-
澳大利亚,三菱,三菱,SUV,SUV-C,Eclipse Cross,N/A,571,823,789,656,570,534,-,-
澳大利亚,三菱,三菱,SUV,SUV-C,RVR (ASX/Outlander Sport),N/A,1096,642,805,767,549,348,-,-
澳大利亚,三菱,三菱,SUV,SUV-D,Outlander,N/A,1674,2166,2169,1829,1880,1624,-,-
澳大利亚,三菱,三菱,SUV,SUV-D,Pajero Sport,N/A,661,457,502,238,261,415,-,-
澳大利亚,三菱,三菱,SUV,SUV-E,Pajero (Montero),N/A,9,25,25,4,0,7,-,-
澳大利亚,三菱,三菱,Light Trucks,Pickup Truck,Triton (L200),N/A,1253,1376,1568,946,1323,2259,-,-
澳大利亚,三菱,三菱,Light Trucks,不可分级,Mitsubishi Express,N/A,12,10,5,0,0,0,-,-
澳大利亚,斯巴鲁,斯巴鲁,Cars,C,BRZ,N/A,116,145,192,113,135,137,-,-
澳大利亚,斯巴鲁,斯巴鲁,Cars,C,Impreza,N/A,284,276,372,423,249,161,-,-
澳大利亚,斯巴鲁,斯巴鲁,Cars,C,WRX,N/A,247,323,207,176,211,264,-,-
澳大利亚,斯巴鲁,斯巴鲁,SUV,SUV-C,Crosstrek,N/A,-,-,-,51,1126,1481,-,-
澳大利亚,斯巴鲁,斯巴鲁,SUV,SUV-C,Forester,N/A,1370,1709,1881,880,1045,1436,-,-
澳大利亚,斯巴鲁,斯巴鲁,SUV,SUV-C,XV,N/A,792,368,146,116,8,6,-,-
澳大利亚,斯巴鲁,斯巴鲁,SUV,SUV-D,Outback,N/A,792,1233,1054,752,790,1435,-,-
澳大利亚,长城汽车股份有限公司 (GWM),哈弗,SUV,SUV-C,Jolion,N/A,875,813,976,718,1076,1065,-,-
澳大利亚,长城汽车股份有限公司 (GWM),哈弗,SUV,SUV-D,H6,N/A,893,820,1219,904,1205,1379,-,-
澳大利亚,长城汽车股份有限公司 (GWM),长城汽车 (GW),Cars,C,Good Cat / Funky Cat,EV,-,-,-,-,3,62,-,-
澳大利亚,长城汽车股份有限公司 (GWM),长城汽车 (GW),SUV,SUV-D,Tank 300,N/A,9,2,0,0,2,132,-,-
澳大利亚,长城汽车股份有限公司 (GWM),长城汽车 (GW),Light Trucks,Pickup Truck,GWM Ute,N/A,726,718,1143,594,955,1259,-,-
澳大利亚,塔塔集团,路虎 (2008-),SUV,SUV-C,Range Rover Evoque (Land Rover (2008-)),N/A,4,1,56,78,65,39,-,-
澳大利亚,塔塔集团,路虎 (2008-),SUV,SUV-D,Defender (Land Rover (2008-)),N/A,94,59,270,402,471,324,-,-
澳大利亚,塔塔集团,路虎 (2008-),SUV,SUV-D,Discovery Sport,N/A,8,6,38,52,22,18,-,-
澳大利亚,塔塔集团,路虎 (2008-),SUV,SUV-D,Range Rover Velar,N/A,-,2,36,35,81,78,-,-
澳大利亚,塔塔集团,路虎 (2008-),SUV,SUV-E,Discovery (Land Rover (2008-)),N/A,1,3,9,25,56,33,-,-
澳大利亚,塔塔集团,路虎 (2008-),SUV,SUV-E,Range Rover (Land Rover (2008-)),N/A,29,11,43,58,107,73,-,-
澳大利亚,塔塔集团,路虎 (2008-),SUV,SUV-E,Range Rover Sport (Land Rover (2008-)),N/A,44,50,225,232,299,177,-,-
澳大利亚,塔塔集团,捷豹 (2008-),Cars,D,XE (Jaguar (2008-)),N/A,1,4,14,17,11,6,-,-
澳大利亚,塔塔集团,捷豹 (2008-),Cars,E,F-Type,N/A,8,5,8,1,3,6,-,-
澳大利亚,塔塔集团,捷豹 (2008-),Cars,E,XF (Jaguar (2008-)),N/A,-,1,0,0,2,1,-,-
澳大利亚,塔塔集团,捷豹 (2008-),SUV,SUV-C,E-Pace,N/A,9,0,1,0,0,4,-,-
澳大利亚,塔塔集团,捷豹 (2008-),SUV,SUV-D,F-Pace,N/A,11,10,27,15,27,26,-,-
澳大利亚,塔塔集团,捷豹 (2008-),SUV,SUV-E,I-Pace,EV,4,2,5,2,3,4,-,-
澳大利亚,奇瑞集团 (Chery),奇瑞,SUV,SUV-C,OMODA 5,N/A,-,-,-,425,584,603,-,-
澳大利亚,马辛德拉＆马辛德拉,KG Mobility / Ssangyong,SUV,SUV-C,Ssangyong Korando,N/A,42,34,68,39,69,71,-,-
澳大利亚,马辛德拉＆马辛德拉,KG Mobility / Ssangyong,SUV,SUV-D,Rexton,N/A,114,117,155,151,199,224,-,-
澳大利亚,马辛德拉＆马辛德拉,KG Mobility / Ssangyong,Light Trucks,SUV-D,Ssangyong Musso,N/A,308,323,313,295,341,456,-,-
澳大利亚,五十铃,五十铃,SUV,SUV-D,MU-X,N/A,828,1225,1745,1095,1110,1111,-,-
澳大利亚,五十铃,五十铃,Light Trucks,Pickup Truck,D-Max,N/A,1843,1931,2789,1809,2371,2500,-,-
澳大利亚,五十铃,五十铃,Heavy Trucks,不可分级,N-Series (ELF),N/A,489,607,696,536,658,827,-,-
澳大利亚,五十铃,五十铃,Heavy Trucks,不可分级,N/A (Heavy Trucks) (Isuzu),N/A,411,477,560,496,575,767,-,-
澳大利亚,沃尔沃卡车集团,Volvo Trucks,Heavy Trucks,不可分级,N/A (Heavy Trucks) (Volvo Trucks),N/A,178,269,308,249,308,502,-,-
澳大利亚,沃尔沃卡车集团,Mack Trucks,Heavy Trucks,不可分级,N/A (Heavy Trucks) (Mack Trucks),N/A,53,48,88,87,89,168,-,-
澳大利亚,沃尔沃卡车集团,Renault Trucks,Heavy Trucks,不可分级,Renault Master,N/A,91,73,36,25,67,126,-,-
澳大利亚,沃尔沃卡车集团,UD Trucks (2008-),Heavy Trucks,不可分级,N/A (Heavy Trucks) (UD Trucks (2008-)),N/A,71,114,88,88,93,156,-,-
澳大利亚,Paccar,Kenworth,Heavy Trucks,不可分级,N/A,N/A,197,251,300,231,307,473,-,-
澳大利亚,Paccar,DAF,Heavy Trucks,不可分级,N/A (Heavy Trucks) (DAF),N/A,40,57,67,64,87,112,-,-
澳大利亚,Iveco (2022-),Iveco (2022-),Light Trucks,不可分级,Daily,N/A,-,-,-,-,1,2,-,-
澳大利亚,Iveco (2022-),Iveco (2022-),Heavy Trucks,不可分级,N/A (Heavy Trucks) (Iveco),N/A,20,29,40,24,24,79,-,-
澳大利亚,Iveco (2022-),Iveco (2022-),Heavy Trucks,不可分级,N/A,N/A,122,151,153,170,109,170,-,-
澳大利亚,Ferrari,Ferrari (2021-),Cars,不可分级,N/A,N/A,17,22,16,11,25,14,-,-
澳大利亚,Aston Martin,Aston Martin (2008-),Cars,不可分级,N/A,N/A,-,4,12,9,4,12,-,-
澳大利亚,Aston Martin,Aston Martin (2008-),SUV,SUV-E,DBX (Aston Martin (2008-)),N/A,3,6,10,7,5,15,-,-
澳大利亚,北京汽车集团,北汽福田汽车,Heavy Trucks,不可分级,Foton T5,EV,-,-,-,-,-,20,-,-
澳大利亚,上海汽车工业(集团)总公司,MG (2006-),Cars,B,MG3,N/A,1348,1622,1427,1141,1508,1403,-,-
澳大利亚,上海汽车工业(集团)总公司,MG (2006-),SUV,SUV-C,MG ZS SUV,N/A,1842,2047,1844,1588,2502,3756,-,-
澳大利亚,上海汽车工业(集团)总公司,MG (2006-),SUV,SUV-D,MG HS,N/A,825,694,736,734,818,857,-,-
澳大利亚,其他中小整车集团,Dennis Eagle,Heavy Trucks,不可分级,N/A,N/A,2,7,6,0,3,9,-,-
澳大利亚,其他中小整车集团,LDV (2010-),Cars,MPV,Maxus Mifa 9,EV,19,71,6,6,7,32,-,-
澳大利亚,其他中小整车集团,LDV (2010-),SUV,SUV-D,Maxus D90,N/A,287,223,271,237,295,397,-,-
澳大利亚,其他中小整车集团,LDV (2010-),Light Trucks,MPV,Maxus G10,N/A,209,235,343,256,393,520,-,-
澳大利亚,其他中小整车集团,LDV (2010-),Light Trucks,MPV,Maxus V80,N/A,56,36,49,25,61,115,-,-
澳大利亚,其他中小整车集团,LDV (2010-),Light Trucks,Pickup Truck,T60,EV,-,4,9,10,4,14,-,-
澳大利亚,其他中小整车集团,LDV (2010-),Light Trucks,Pickup Truck,T60,N/A,587,752,908,683,823,1069,-,-
澳大利亚,其他中小整车集团,LDV (2010-),Light Trucks,不可分级,Deliver 9,N/A,24,26,9,4,6,42,-,-
澳大利亚,其他中小整车集团,LDV (2010-),Heavy Trucks,不可分级,Deliver 9,N/A,241,305,359,216,435,571,-,-
澳大利亚,其他中小整车集团,McLaren,Cars,不可分级,N/A,N/A,10,4,6,0,16,10,-,-
澳大利亚,其他中小整车集团,Other,Heavy Trucks,不可分级,N/A,EV,-,4,0,4,0,2,-,-
新西兰,大众集团,大众,Cars,不可分级,N/A,N/A,223,196,227,225,389,476,-,-
新西兰,大众集团,大众,CV,不可分级,N/A,N/A,56,53,52,49,172,243,-,-
新西兰,大众集团,奥迪,Cars,不可分级,N/A,N/A,101,121,114,121,103,167,-,-
新西兰,大众集团,斯柯达 (Skoda),Cars,不可分级,N/A,N/A,111,158,162,152,137,414,-,-
新西兰,大众集团,斯柯达 (Skoda),CV,不可分级,N/A,N/A,-,-,2,3,-,-,-,-
新西兰,大众集团,SEAT,Cars,不可分级,N/A,N/A,56,50,33,21,58,51,-,-
新西兰,大众集团,Porsche (2013-),Cars,不可分级,N/A,N/A,61,55,21,47,25,95,-,-
新西兰,大众集团,Bentley,Cars,不可分级,N/A,N/A,13,1,2,5,1,4,-,-
新西兰,大众集团,Lamborghini,Cars,不可分级,N/A,N/A,4,1,3,4,-,6,-,-
新西兰,大众集团,Scania (TRATON),CV,不可分级,N/A,N/A,40,53,58,35,53,65,-,-
新西兰,大众集团,MAN (TRATON),CV,不可分级,N/A,N/A,19,17,11,8,22,16,-,-
新西兰,大众集团,International (TRATON),CV,不可分级,N/A,N/A,-,1,2,1,2,1,-,-
新西兰,丰田集团,丰田,Cars,不可分级,N/A,N/A,1532,744,1577,1360,1780,3187,-,-
新西兰,丰田集团,丰田,CV,不可分级,N/A,N/A,985,941,1071,894,979,2153,-,-
新西兰,丰田集团,雷克萨斯,Cars,不可分级,N/A,N/A,68,44,140,126,150,147,-,-
新西兰,丰田集团,日野,CV,不可分级,N/A,N/A,58,65,87,48,71,68,-,-
新西兰,雷诺-日产联盟,日产,Cars,不可分级,N/A,N/A,257,139,552,163,218,462,-,-
新西兰,雷诺-日产联盟,日产,CV,不可分级,N/A,N/A,100,108,196,104,114,203,-,-
新西兰,雷诺-日产联盟,雷诺,Cars,不可分级,N/A,N/A,17,28,34,13,15,52,-,-
新西兰,雷诺-日产联盟,雷诺,CV,不可分级,N/A,N/A,20,16,15,6,11,31,-,-
新西兰,Stellantis,菲亚特 (2021-),Cars,不可分级,N/A,N/A,5,7,9,10,7,40,-,-
新西兰,Stellantis,菲亚特 (2021-),CV,不可分级,N/A,N/A,22,30,12,23,31,36,-,-
新西兰,Stellantis,吉普 (2021-),Cars,不可分级,N/A,N/A,26,21,14,32,59,58,-,-
新西兰,Stellantis,吉普 (2021-),CV,不可分级,N/A,N/A,-,-,-,1,2,7,-,-
新西兰,Stellantis,道奇 (2021-),Cars,不可分级,N/A,N/A,-,-,-,1,-,-,-,-
新西兰,Stellantis,道奇 (2021-),CV,不可分级,N/A,N/A,-,2,1,-,1,-,-,-
新西兰,Stellantis,Ram (2021-),CV,不可分级,N/A,N/A,25,22,33,24,28,37,-,-
新西兰,Stellantis,Alfa Romeo (2021-),Cars,不可分级,N/A,N/A,1,8,6,-,3,11,-,-
新西兰,Stellantis,Maserati (2021-),Cars,不可分级,N/A,N/A,4,1,8,6,6,16,-,-
新西兰,Stellantis,标致 (2021-),Cars,不可分级,N/A,N/A,93,80,72,69,97,103,-,-
新西兰,Stellantis,标致 (2021-),CV,不可分级,N/A,N/A,15,16,6,10,22,19,-,-
新西兰,Stellantis,雪铁龙 (2021-),Cars,不可分级,N/A,N/A,24,11,15,15,13,33,-,-
新西兰,Stellantis,欧宝 (2021-),Cars,不可分级,N/A,N/A,28,30,11,28,35,40,-,-
新西兰,通用集团,雪佛兰,Cars,不可分级,N/A,N/A,9,2,-,2,2,3,-,-
新西兰,通用集团,雪佛兰,CV,不可分级,N/A,N/A,21,13,21,10,20,24,-,-
新西兰,现代-起亚汽车集团,现代,Cars,不可分级,N/A,N/A,600,561,1218,395,870,1054,-,-
新西兰,现代-起亚汽车集团,现代,CV,不可分级,N/A,N/A,40,49,38,87,40,80,-,-
新西兰,现代-起亚汽车集团,起亚,Cars,不可分级,N/A,N/A,1502,395,1253,710,645,1927,-,-
新西兰,福特集团,福特,Cars,不可分级,N/A,N/A,321,254,275,343,318,599,-,-
新西兰,福特集团,福特,CV,不可分级,N/A,N/A,889,931,1438,972,1073,1128,-,-
新西兰,本田,本田,Cars,不可分级,N/A,N/A,341,322,487,90,391,503,-,-
新西兰,比亚迪汽车(BYD),比亚迪汽车,Cars,不可分级,N/A,N/A,235,142,615,181,222,440,-,-
新西兰,Tesla,Tesla,Cars,不可分级,N/A,EV,189,168,875,197,173,964,-,-
新西兰,铃木,铃木,Cars,不可分级,N/A,N/A,572,765,803,520,681,1149,-,-
新西兰,铃木,铃木,CV,不可分级,N/A,N/A,2,1,5,6,26,38,-,-
新西兰,梅赛德斯-奔驰集团,梅赛德斯-奔驰 (2022-),Cars,不可分级,N/A,N/A,159,97,198,116,125,161,-,-
新西兰,戴姆勒卡车集团 (2022-),Daimler Truck (2022-),CV,不可分级,N/A,N/A,40,70,75,37,61,68,-,-
新西兰,戴姆勒卡车集团 (2022-),Freightliner (2022-),CV,不可分级,N/A,N/A,2,1,3,1,-,-,-,-
新西兰,戴姆勒卡车集团 (2022-),三菱扶桑 (2022-),CV,不可分级,N/A,N/A,84,105,127,107,101,133,-,-
新西兰,戴姆勒卡车集团 (2022-),Western Star (2022-),CV,不可分级,N/A,N/A,1,1,3,3,1,1,-,-
新西兰,宝马集团,宝马,Cars,不可分级,N/A,N/A,155,138,183,126,134,169,-,-
新西兰,宝马集团,MINI,Cars,不可分级,N/A,N/A,63,47,48,51,55,191,-,-
新西兰,宝马集团,Rolls-Royce,Cars,不可分级,N/A,N/A,2,2,1,-,1,1,-,-
新西兰,马自达,马自达,Cars,不可分级,N/A,N/A,310,308,532,226,450,519,-,-
新西兰,马自达,马自达,CV,不可分级,N/A,N/A,21,26,59,29,41,87,-,-
新西兰,吉利控股集团(Geely),沃尔沃汽车 (2011-),Cars,不可分级,N/A,N/A,50,34,116,50,42,84,-,-
新西兰,吉利控股集团(Geely),Polestar,Cars,不可分级,N/A,N/A,10,6,146,44,22,36,-,-
新西兰,吉利控股集团(Geely),路特斯 (Lotus) (2017-),Cars,不可分级,N/A,N/A,2,-,-,6,-,1,-,-
新西兰,三菱,三菱,Cars,不可分级,N/A,N/A,980,473,536,676,1096,1892,-,-
新西兰,三菱,三菱,CV,不可分级,N/A,N/A,315,234,305,256,360,1011,-,-
新西兰,斯巴鲁,斯巴鲁,Cars,不可分级,N/A,N/A,292,190,204,149,208,335,-,-
新西兰,长城汽车股份有限公司 (GWM),哈弗,Cars,不可分级,N/A,N/A,169,153,222,199,267,666,-,-
新西兰,长城汽车股份有限公司 (GWM),长城汽车 (GW),Cars,不可分级,N/A,N/A,-,-,25,26,17,44,-,-
新西兰,长城汽车股份有限公司 (GWM),长城汽车 (GW),CV,不可分级,N/A,N/A,21,24,30,14,25,37,-,-
新西兰,塔塔集团,路虎 (2008-),Cars,不可分级,N/A,N/A,123,114,174,108,88,103,-,-
新西兰,塔塔集团,捷豹 (2008-),Cars,不可分级,N/A,N/A,26,17,24,8,11,9,-,-
新西兰,马辛德拉＆马辛德拉,马辛德拉＆马辛德拉,Cars,不可分级,N/A,N/A,4,3,29,21,51,96,-,-
新西兰,马辛德拉＆马辛德拉,马辛德拉＆马辛德拉,CV,不可分级,N/A,N/A,7,2,4,1,1,6,-,-
新西兰,马辛德拉＆马辛德拉,KG Mobility / Ssangyong,Cars,不可分级,N/A,N/A,35,19,40,29,30,85,-,-
新西兰,马辛德拉＆马辛德拉,KG Mobility / Ssangyong,CV,不可分级,N/A,N/A,13,8,42,6,4,39,-,-
新西兰,五十铃,五十铃,Cars,不可分级,N/A,N/A,13,10,22,11,13,35,-,-
新西兰,五十铃,五十铃,CV,不可分级,N/A,N/A,165,212,298,173,221,402,-,-
新西兰,五十铃,UD Trucks (2021-),CV,不可分级,N/A,N/A,17,17,39,21,32,30,-,-
新西兰,沃尔沃卡车集团,Volvo Trucks,CV,不可分级,N/A,N/A,30,30,29,11,22,30,-,-
新西兰,沃尔沃卡车集团,Mack Trucks,CV,不可分级,N/A,N/A,1,4,7,1,11,6,-,-
新西兰,Paccar,Kenworth,CV,不可分级,N/A,N/A,16,13,13,7,13,14,-,-
新西兰,Paccar,DAF,CV,不可分级,N/A,N/A,18,21,25,27,16,18,-,-
新西兰,CNH Industrial,Piaggio (2014-),Cars,不可分级,N/A,N/A,-,-,1,-,-,-,-,-
新西兰,Iveco (2022-),Iveco (2022-),CV,不可分级,N/A,N/A,28,36,47,29,30,25,-,-
新西兰,Ferrari,Ferrari (2021-),Cars,不可分级,N/A,N/A,6,2,2,5,2,5,-,-
新西兰,Aston Martin,Aston Martin (2008-),Cars,不可分级,N/A,N/A,5,6,4,4,6,5,-,-
新西兰,北京汽车集团,北汽福田汽车,CV,不可分级,N/A,N/A,14,6,21,13,20,38,-,-
新西兰,上海汽车工业(集团)总公司,MG (2006-),Cars,不可分级,N/A,N/A,423,310,555,333,516,810,-,-
新西兰,其他中小整车集团,Alexander Dennis,CV,不可分级,N/A,N/A,3,-,2,-,7,-,-,-
新西兰,其他中小整车集团,BCI,CV,不可分级,N/A,N/A,-,1,1,-,1,-,-,-
新西兰,其他中小整车集团,Can-Am,Cars,不可分级,N/A,N/A,3,3,4,2,4,3,-,-
新西兰,其他中小整车集团,Factory Built,CV,不可分级,N/A,N/A,2,6,3,4,1,1,-,-
新西兰,其他中小整车集团,Grove,CV,不可分级,N/A,N/A,-,1,1,-,-,-,-,-
新西兰,其他中小整车集团,Ineos Automotive,Cars,不可分级,N/A,N/A,-,-,-,-,2,24,-,-
新西兰,其他中小整车集团,Kato,CV,不可分级,N/A,N/A,-,1,-,-,-,-,-,-
新西兰,其他中小整车集团,LDV (2010-),Cars,不可分级,N/A,N/A,1,1,4,2,3,10,-,-
新西兰,其他中小整车集团,LDV (2010-),CV,不可分级,N/A,N/A,100,132,178,89,138,159,-,-
新西兰,其他中小整车集团,Liebherr,CV,不可分级,N/A,N/A,-,1,1,2,1,-,-,-
新西兰,其他中小整车集团,McLaren,Cars,不可分级,N/A,N/A,2,1,-,-,-,-,-,-
新西兰,其他中小整车集团,Morgan,Cars,不可分级,N/A,N/A,-,-,-,-,-,1,-,-
新西兰,其他中小整车集团,Polaris,CV,不可分级,N/A,N/A,-,-,-,-,2,-,-,-
新西兰,其他中小整车集团,Rewaco,Cars,不可分级,N/A,N/A,-,-,-,-,-,1,-,-
新西兰,其他中小整车集团,三一集团,CV,不可分级,N/A,N/A,-,-,-,-,1,-,-,-
新西兰,其他中小整车集团,Sinotruk,CV,不可分级,N/A,N/A,3,-,1,1,6,1,-,-
新西兰,其他中小整车集团,Terex,CV,不可分级,N/A,N/A,-,-,-,1,-,1,-,-
新西兰,其他中小整车集团,TIDD,CV,不可分级,N/A,N/A,-,-,1,-,-,-,-,-
新西兰,其他中小整车集团,XCMG,CV,不可分级,N/A,N/A,-,-,-,-,-,1,-,-
新西兰,其他中小整车集团,Yamaha,Cars,不可分级,N/A,N/A,1,-,4,5,2,1,-,-
美国,大众集团,大众,Cars,C,Beetle,ICE,-,-,-,-,0,1,-,-
美国,大众集团,大众,Cars,C,Golf,EV,0,0,0,0,0,0,-,-
美国,大众集团,大众,Cars,C,Golf,ICE,397,381,711,769,970,1148,-,-
美国,大众集团,大众,Cars,C,Jetta,ICE,1361,1251,1962,3329,3734,4587,-,-
美国,大众集团,大众,Cars,D,Arteon,ICE,200,152,176,182,203,242,-,-
美国,大众集团,大众,Light Trucks,SUV-C,ID.4,EV,3426,3031,3301,1494,2360,2836,-,-
