统计时间,搜索曝光次数,搜索点击次数,搜索点击率,店铺访问人数,MC询盘人数,询盘个数,ATM咨询人数,近30日挂帐订单买家数,商机转化率(数据管家),商机转化率(星等级),近30日挂帐订单数,近30日实收信保金额,总商品数,有访问的商品数,有询盘的商品数,有订单的商品数,实力优品数,RTS商品数,当前15天（以上）零效果商品数,P4P曝光次数,P4P点击次数,P4P点击率,P4P消耗金额_分,P4P平均点击花费_分,P4P在线时长_分钟,及时回复率,平均回复时间_小时,最近一天RFQ报价数,最近30天报价被二次行动率,最近tips视频发布数,最近tips视频曝光数,最近tips视频有效播放数,最近tips视频引流商机数量
2023-03-02,3717,65,1.75%,85,0,0.0,14,20,5.88%,4.54%,64,172105.41999999998,863,101,0,0,72,0,307,0,0,0%,0,0,0.0,97.27%,4.40,0,39.13%,0,45,1,0
2023-03-03,3949,72,1.82%,90,4,5.0,12,20,11.11%,4.76%,65,172405.42,863,100,4,0,74,0,304,0,0,0%,0,0,0.0,97.28%,4.39,1,42.86%,0,22,3,0
2023-03-04,4096,49,1.2%,86,5,5.0,11,20,5.81%,4.67%,56,167595.41999999998,863,87,5,0,75,0,287,0,0,0%,0,0,0.0,97.25%,4.47,0,42.86%,0,19,3,0
2023-03-05,3727,55,1.48%,74,2,2.0,18,21,6.76%,4.62%,52,169799.41999999998,866,94,2,0,74,4,270,0,0,0%,0,0,0.0,97.25%,4.53,1,35%,0,58,7,0
2023-03-06,4134,59,1.43%,92,2,5.0,18,22,5.43%,4.59%,60,170499.41999999998,873,91,5,3,75,11,283,0,0,0%,0,0,0.0,96.83%,4.59,0,35%,0,20,1,0
2023-03-07,3890,57,1.47%,96,3,3.0,19,22,6.25%,4.59%,61,169421.62000000002,873,116,2,1,75,11,292,0,0,0%,0,0,0.0,97.14%,4.41,2,31.82%,0,23,0,0
2023-03-08,4000,54,1.35%,80,1,1.0,12,22,6.25%,4.6%,61,162560.82,873,137,1,0,74,11,285,0,0,0%,0,0,0.0,97.24%,4.34,2,26.09%,0,27,2,0
2023-03-09,4131,44,1.07%,76,0,0.0,18,21,3.95%,4.47%,61,166400.82,874,67,0,0,74,12,306,0,0,0%,0,0,0.0,97.23%,4.32,0,26.09%,0,22,0,0
2023-03-10,3862,65,1.68%,81,0,0.0,11,21,3.7%,4.31%,60,165925.93,874,90,0,0,72,12,305,0,0,0%,0,0,0.0,97.25%,4.31,1,25%,0,16,0,0
2023-03-11,4001,66,1.65%,91,0,0.0,7,22,2.2%,4.32%,62,176993.94,873,71,0,0,71,12,307,0,0,0%,0,0,0.0,97.23%,4.23,0,26.09%,0,26,2,0
2023-03-12,4013,69,1.72%,84,4,4.0,9,22,7.14%,4.44%,59,176863.94,870,86,3,0,72,12,302,0,0,0%,0,0,0.0,97.22%,4.33,1,26.09%,0,33,3,0
2023-03-13,4988,91,1.82%,104,0,0.0,19,22,5.77%,4.53%,60,177463.94,869,121,0,1,74,13,302,0,0,0%,0,0,0.0,97.48%,4.21,0,27.27%,0,28,1,0
